Index,Day,Month,Year,Type,Registration,Operator,Fatalities,Location,Country,Category
18997,31,OCT,1999,Boeing 767-366ER,SU-GAP,EgyptAir,217,near Nantucket Island...,Atlantic Ocean,C1
18998,,OCT,1999,Antonov An-2R,9A-DBZ,Geofoto,0,,Bosnia,O1
18999,7,NOV,1999,Fokker 100,I-ALPL,Alpi Eagles - op.for Air Dolomiti,0,Barcelona Airpor...,Spain,A2
19000,9,NOV,1999,DC-9-31F,XA-TKN,TAESA,18,near Uruapan Airport ...,Mexico,A1
19001,10,NOV,1999,Antonov An-12,,D.R. Congo AF,6,Mbandaka Airport...,D.R. Congo,C1
19002,10,NOV,1999,Douglas DC-3C,HK-2581,ALIANSA Colombia,5,near La Montañita -  C...,Colombia,A1
19003,11,NOV,1999,Beech 200 Super King Air,N869,Jaymar Ruby,3,Chicago-Merrill ...,USA,A1
19004,12,NOV,1999,ATR 42-312,F-OHFV,SiFly - op.for UN,24,near Mitrovica,Kosovo,A1
19005,12,NOV,1999,Antonov An-12B,D2-FRK,Unknown,0,Lukapa Airport (...,Angola,A1
19006,18,NOV,1999,Convair CV-580,9Q-CEJ,CAA,0,near Tshikapa,D.R. Congo,A1
19007,19,NOV,1999,BN-2A-26 Islander,N907VL,Vieques Air Link,0,Anguilla-Wallbla...,Anguilla,O1
19008,20,NOV,1999,Cessna F406 Caravan II,D2-ECQ,SAL,0,Benguela-Gen V D...,Angola,A2
19009,23,NOV,1999,DHC-8-301,,Zhejiang Airlines,0,Xiamen Airport (...,China,H2
19010,23,NOV,1999,BN-2A-21 Islander,OA-4,Botswana AF,3,Kwando Airstrip,Botswana,A1
19011,26,NOV,1999,Cessna 208 Caravan I,5Y-RAN,DHL Aviation Africa,4,Nairobi-Jomo Ken...,Kenya,A1
19012,27,NOV,1999,Dassault Falcon 20DC,N216SA,RBS Aviation Group - op.for Smith Air,0,Boise Air Termin...,USA,A1
19013,29,NOV,1999,Antonov An-28,ES-NOF,Enimex,0,near Szczecin,Poland,A1
19014,1,DEC,1999,Fokker F-27 Friendship 600,PK-TSK,Indonesia Air Transport - IAT,0,Matak-Tarempa Ai...,Indonesia,A2
19015,5,DEC,1999,Ilyushin Il-114T,UK-91004,Tashkent Aircraft Production,5,Moskva-Domodedov...,Russia,A1
19016,6,DEC,1999,Cessna 208B Grand Caravan,N5187B,Arctic Circle Air Service,0,near Bethel Airport -  ...,USA,A2
19017,7,DEC,1999,Let L-410UVP-E,RP-C3883,Asian Spirit,17,Kasibu,Philippines,A1
19018,8,DEC,1999,Cessna 208A Caravan I,PT-OHA,TAF Linhas Aéreas,0,near João Pessoa -  PB,Brazil,A1
19019,9,DEC,1999,Cessna 525 CitationJet,N525KL,College of the Ozarks�,6,near Branson/Point Lo...,USA,A1
19020,10,DEC,1999,Lockheed C-130E Hercules,63-7854,USAF,3,Kuwait Internati...,Kuwait,A1
19021,11,DEC,1999,BAe ATP,CS-TGM,SATA Air Açores,35,São Jorge Islan...,Portugal,A1
19022,12,DEC,1999,DHC-6 Twin Otter 300,C-GKBG,Kenn Borek Air,0,near McMurdo Station,Antarctica,A2
19023,12,DEC,1999,IAI 1124A Westwind II,N50PL,Panda Leasing�,3,Gouldsboro -  PA,USA,A1
19024,12,DEC,1999,Cessna 650 Citation VII,N5269A,Cessna Aircraft,0,Wichita-Cessna A...,USA,O1
19025,15,DEC,1999,Beech 200 Super King Air,C-GKBN,Kenn Borek Air,0,Hamburg Aerodrom...,Canada,A1
19026,21,DEC,1999,DC-10-30,F-GTDI,AOM French Airlines - op.for Cubana,16+ 2,Guatemala City-L...,Guatemala,A1
19027,21,DEC,1999,Cessna 551 Citation II/SP,N1218S,Valley Projects,1,near Crisp County-Cor...,USA,A1
19028,22,DEC,1999,Boeing 747-2B5F (SCD),HL7451,Korean Air,4,near Great Hallingbury,U.K.,A1
19029,23,DEC,1999,Cessna 208B Grand Caravan,N1315A,M&N Aviation,0,near Adjuntas,Puerto Rico,A1
19030,24,DEC,1999,Airbus A300B2-101,VT-EDW,Indian Airlines,1,Kandahar Airport...,Afghanistan,H2
19031,25,DEC,1999,DHC-6 Twin Otter 300,9N-AFL,Skyline Airways,10,near Simra Airport (SIF),Nepal,A1
19032,25,DEC,1999,Yakovlev Yak-42D,CU-T1285,Cubana,22,Bejuma,Venezuela,A1
19033,25,DEC,1999,Nord 262D-51 Frégate,78/F-RBAF,French AF,0,Villacoublay/Vel...,France,O1
19034,26,DEC,1999,ATR 42-310,F-WQJN,Aérospatiale,0,Dinard-Pleurtuit...,France,O1
19035,26,DEC,1999,IAI 1124A Westwind II,N422BC,Bradley Aviation,0,Milwaukee-Genera...,USA,A1
19036,27,DEC,1999,Boeing 737-377,VH-CZM,Ansett Australia,0,Melbourne-Tullam...,Australia,A2
19037,27,DEC,1999,Airbus A310-308,JY-AGK,Royal Jordanian,0,Shannon Airport ...,Ireland,A2
19038,27,DEC,1999,Antonov An-2T,F-AZHM,private,0,La Ferté-Alais,France,O1
19039,28,DEC,1999,Cessna 208A Caravan 675,C-FGGG,Seair,0,near Abbotsford Airpo...,Canada,A1
19040,28,DEC,1999,Canadair CRJ-100LR,D-ACJA,Lufthansa CityLine,0,Düsseldorf Airp...,Germany,H2
19041,28,DEC,1999,Lockheed L-100-30 Hercules,S9-BOP,Transafrik,0,Luzamba Airport ...,Angola,A1
19042,29,DEC,1999,Antonov An-28,3C-JJI,Ecuato Guineana de Aviacion,6,near Inebolu,Turkey,A1
19043,31,DEC,1999,Beech 99A,N491BB,Bohlke,0,Saint-Barthélé...,Saint Barthélemy,A1
19044,,,1999,Yakovlev Yak-40,71501,Serbian Air Force,0,unknown,Serbia,C1
19045,3,JAN,2000,Beech 200 Super King Air,A2-AEZ,Kalahari Air Services & Charter,,unknown location,Unknown country,U1
19046,5,JAN,2000,Embraer EMB-110P1A Bandeirante,5N-AXL,Skypower Express,1+ 1,Abuja Internatio...,Nigeria,A1
19047,7,JAN,2000,Antonov An-26,D2-FBR,Unknown,,,Angola,A1
